pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec
1.124,,2456893.72681,0.62,3074.0,0.50547,4.73262,243.9968794,-23.4935346
0.7474,,2456893.14059,0.17,,,,246.3961379,-23.4053136
46.1373,2.6,2456921.9703,0.1137,,0.723,,239.2624997,-23.2807451
1.957,,2456893.37313,0.01,3913.0,45.3731,,248.6633692,-22.9708723
22.6398,1.27,2456900.4428,0.02,,0.862,,247.4302723,-22.8473721
24.193613,30.7,2456906.33,10.6,5457.0,0.87,,250.4137354,-22.8284511
2.784496,2.09,2456894.83627,0.585,,0.256,,246.86899,-22.7910827
0.64292573,,2456896.425445,2.46,2914.0,0.362033,4.86227,245.3200013,-22.6936469
1.4562,,2456894.29809,1.65,,,,240.3397765,-22.6242127
2.8742,,2456893.4087,0.73,3648.0,1.41662,,240.5015904,-22.3567255
10.2236,132.0,2456893.6415,,6960.0,2.04,4.05,240.7566702,-22.1313448
1.6281,,2456893.45074,1.49,5691.0,2.74444,3.56677,241.824054,-22.0602594
2.7518,0.669,2456896.3915,0.00992,,0.647,,248.394703,-21.965461
,133.0,2456899.9637,0.9753,,8.12,,239.6968009,-21.8948659
23.277669,32.8,2456898.089,19.8,4379.0,0.68,,247.1574907,-21.7675731
24.6842,2.49,2456900.487,0.0408,,1.17,,240.8283058,-21.7560956
2.2,8.4,2456921.016,,4800.0,0.87,,247.9469488,-21.5234812
2.6454165,9.47,2456894.861,1.2,5179.0,0.79,,244.8207081,-21.4599992
2.64594828,,2456897.498451,1.124,6634.0,1.98054,3.98751,244.8207081,-21.4599992
20.98296043,,2456911.584929,0.338,4822.0,0.739921,4.59235,243.7067684,-21.4237002
1.5271792,,2456897.468829,0.192,5359.0,0.899453,4.49859,245.8138614,-21.3461111
7.8392,1.46,2456897.067,0.0158,,1.115,,238.8197061,-21.0269691
9.2048,,2456903.57,14.79,11886.0,3.61562,3.82208,239.4185534,-20.9831714
2.32046168,,2456898.023498,0.538,,,,239.9418766,-20.9699236
